"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0044079,8,nm0177336,writer,adaptation
tt0044079,9,nm0383604,writer,from the novel by
tt0044081,10,nm0005889,cinematographer,director of photography
tt0044081,1,nm0000046,actress,
tt0044081,2,nm0000008,actor,
tt0044081,3,nm0001375,actress,
tt0044081,4,nm0001500,actor,
tt0044081,5,nm0001415,director,
tt0044081,6,nm0931783,writer,screen play
tt0044081,7,nm0766665,writer,adaptation by
tt0044081,8,nm0271012,producer,producer
tt0044081,9,nm0006218,composer,
tt0044706,10,nm0930536,editor,
tt0044706,1,nm0000011,actor,
tt0044706,2,nm0000038,actress,
tt0044706,3,nm0593775,actor,
tt0044706,4,nm0000978,actor,
tt0044706,5,nm0003593,director,
tt0044706,6,nm0286025,writer,screenplay by
tt0044706,7,nm0192356,writer,"based on the magazine story ""The Tin Star"" by"
tt0044706,8,nm0006323,composer,
tt0044706,9,nm0005677,cinematographer,director of photography
tt0045152,10,nm0269751,editor,
tt0045152,1,nm0000037,actor,
tt0045152,2,nm0640307,actor,
tt0045152,3,nm0001666,actress,
tt0045152,4,nm0353405,actress,
tt0045152,5,nm0002045,director,
tt0045152,6,nm0173679,writer,story by
tt0045152,7,nm0337582,writer,story by
tt0045152,8,nm0006085,producer,producer
tt0045152,9,nm0005849,cinematographer,director of photography
tt0046183,10,nm0780799,writer,story
tt0046183,1,nm0237985,actor,
tt0046183,2,nm0064607,actress,
tt0046183,3,nm0175788,actor,
tt0046183,4,nm0859892,actor,
tt0046183,5,nm0314671,director,
tt0046183,6,nm0414144,director,
tt0046183,7,nm0527217,director,
tt0046183,8,nm0455741,director,
tt0046183,9,nm0057381,writer,"an adaptation of the play ""Peter Pan"" by"
tt0046250,10,nm0002162,cinematographer,director of photography
tt0046250,1,nm0000060,actor,
tt0046250,2,nm0000030,actress,
tt0046250,3,nm0000734,actor,
tt0046250,4,nm0694403,actor,
tt0046250,5,nm0943758,director,
tt0046250,6,nm0874308,writer,screenplay by
tt0046250,7,nm0402848,writer,screenplay by
tt0046250,8,nm0226538,writer,screenplay by
tt0046250,9,nm0005952,composer,
tt0046912,1,nm0001537,actor,
tt0046912,2,nm0000038,actress,
tt0046912,3,nm0191950,actor,
tt0046912,4,nm0002369,actor,
tt0046912,5,nm0000033,director,
tt0046912,6,nm0461425,writer,screen play by
tt0046912,7,nm0006323,composer,
tt0046912,8,nm0122079,cinematographer,director of photography
tt0046912,9,nm0270458,editor,film editor
tt0047296,10,nm0077086,composer,
tt0047296,1,nm0000008,actor,
tt0047296,2,nm0001500,actor,
tt0047296,3,nm0002011,actor,
tt0047296,4,nm0001768,actor,
tt0047296,5,nm0001415,director,
tt0047296,6,nm0775977,writer,screenplay
tt0047296,7,nm0425711,writer,suggested by articles by
tt0047296,8,nm0802563,writer,
tt0047296,9,nm0818545,producer,producer
tt0047396,10,nm0866462,editor,
tt0047396,1,nm0000071,actor,
tt0047396,2,nm0000038,actress,
tt0047396,3,nm0179819,actor,
tt0047396,4,nm0728812,actress,
tt0047396,5,nm0000033,director,
tt0047396,6,nm0371088,writer,screenplay
tt0047396,7,nm0941280,writer,short story
tt0047396,8,nm0000077,composer,
tt0047396,9,nm0122079,cinematographer,director of photography
tt0047478,10,nm0620014,cinematographer,
tt0047478,1,nm0001536,actor,
tt0047478,2,nm0793766,actor,
tt0047478,3,nm0875477,actress,
tt0047478,4,nm0793616,actress,
tt0047478,5,nm0000041,director,
tt0047478,6,nm0368074,writer,screenplay by
tt0047478,7,nm0644823,writer,screenplay by
tt0047478,8,nm0609404,producer,producer
tt0047478,9,nm0370593,composer,
tt0048280,10,nm0672093,writer,story
tt0048280,1,nm0524853,actress,
tt0048280,2,nm0731333,actor,
tt0048280,3,nm0498007,actress,
tt0048280,4,nm0859892,actor,
tt0048280,5,nm0314671,director,
tt0048280,6,nm0414144,director,
tt0048280,7,nm0527217,director,
tt0048280,8,nm0194018,director,
tt0048280,9,nm0338950,writer,from the story by
tt0050083,1,nm0000020,actor,
tt0050083,2,nm0002011,actor,
tt0050083,3,nm0000842,actor,
tt0050083,4,nm0275835,actor,
tt0050083,5,nm0001486,director,
tt0050083,6,nm0741627,writer,story
tt0050083,7,nm0006132,composer,
tt0050083,8,nm0442100,cinematographer,director of photography
tt0050083,9,nm0503594,editor,
tt0050212,10,nm0002185,composer,
tt0050212,1,nm0000034,actor,
tt0050212,2,nm0000027,actor,
tt0050212,3,nm0370144,actor,
tt0050212,4,nm0370564,actor,
tt0050212,5,nm0000180,director,
tt0050212,6,nm0099541,writer,"novel ""Le pont de la rivière Kwaï"""
tt0050212,7,nm0286025,writer,screenplay
tt0050212,8,nm0933858,writer,screenplay
tt0050212,9,nm0818545,producer,producer
tt0050825,10,nm0006086,composer,
tt0050825,1,nm0000018,actor,
tt0050825,2,nm0576127,actor,
tt0050825,3,nm0579663,actor,
tt0050825,4,nm0534317,actor,
tt0050825,5,nm0000040,director,
tt0050825,6,nm0932229,writer,screenplay
tt0050825,7,nm0860292,writer,screenplay
tt0050825,8,nm0167767,writer,"based on the novel ""Paths of Glory"" by"
tt0050825,9,nm0364805,producer,producer
tt0050976,10,nm0526456,production_designer,
tt0050976,1,nm0001884,actor,
tt0050976,2,nm0085038,actor,
tt0050976,3,nm0252345,actor,
tt0050976,4,nm0691555,actor,
tt0050976,5,nm0000005,director,
tt0050976,6,nm0252321,producer,producer
tt0050976,7,nm0635059,composer,
tt0050976,8,nm0005705,cinematographer,
tt0050976,9,nm0906307,editor,
tt0050986,1,nm0803705,actor,
tt0050986,2,nm0000761,actress,
tt0050986,3,nm0862026,actress,
tt0050986,4,nm0085038,actor,
tt0050986,5,nm0000005,director,
tt0050986,6,nm0635059,composer,
tt0050986,7,nm0005705,cinematographer,
tt0050986,8,nm0741013,editor,
tt0050986,9,nm0349023,production_designer,
tt0051201,10,nm0540338,composer,
tt0051201,1,nm0000061,actor,
tt0051201,2,nm0000017,actress,
