"('mid',)","('pid',)"
tt0140352,nm0000520
tt0142342,nm0240797
tt0142688,nm0000591
tt0143145,nm0000776
tt0144084,nm0366004
tt0144117,nm0240627
tt0145487,nm0000600
tt0145660,nm0005366
tt0145681,nm0637518
tt0146316,nm0922346
tt0146675,nm0001382
tt0146838,nm0000231
tt0146882,nm0001241
tt0147800,nm0432627
tt0149261,nm0001317
tt0151804,nm0431918
tt0158983,nm0005295
tt0159097,nm0001068
tt0159273,nm0601382
tt0159365,nm0005237
tt0160127,nm0629334
tt0161081,nm0000709
tt0162222,nm0000709
tt0162346,nm0959062
tt0162661,nm0000318
tt0163025,nm0002653
tt0163651,nm0919369
tt0163651,nm0919363
tt0163978,nm0000965
tt0164052,nm0000682
tt0164184,nm0004675
tt0164912,nm0591450
tt0166924,nm0000186
tt0167190,nm0868219
tt0167260,nm0001392
tt0167261,nm0001392
tt0167404,nm0796117
tt0168629,nm0001885
tt0169102,nm0332950
tt0169547,nm0005222
tt0170016,nm0000165
tt0172156,nm0000881
tt0172493,nm0003506
tt0172495,nm0000631
tt0175142,nm0005540
tt0175880,nm0000759
tt0177789,nm0661751
tt0177971,nm0000583
tt0180093,nm0004716
tt0181689,nm0000229
tt0181852,nm0609236
tt0181865,nm0001752
tt0181875,nm0001081
tt0182789,nm0001060
tt0183505,nm0268380
tt0183505,nm0125803
tt0183649,nm0001708
tt0183790,nm0001338
tt0184894,nm0223359
tt0185431,nm0109359
tt0185937,nm0844896
tt0185937,nm0617130
tt0186151,nm0387706
tt0187078,nm0784061
tt0187393,nm0000386
tt0187738,nm0868219
tt0190138,nm0528718
tt0190332,nm0000487
tt0190590,nm0001053
tt0190590,nm0001054
tt0195685,nm0001752
tt0195714,nm0939128
tt0196229,nm0001774
tt0198781,nm0798899
tt0198781,nm0881279
tt0198781,nm0230032
tt0200465,nm0002044
tt0200550,nm0573589
tt0203009,nm0525303
tt0203019,nm0863387
tt0206634,nm0190859
tt0207201,nm0583600
tt0208092,nm0005363
tt0209144,nm0634240
tt0209163,nm0814085
tt0209958,nm0802248
tt0210945,nm0945026
tt0211915,nm0000466
tt0212338,nm0005366
tt0212346,nm0677953
tt0212720,nm0000229
tt0212985,nm0000631
tt0213149,nm0000881
tt0215129,nm0680846
tt0215750,nm0000269
tt0216216,nm0006854
tt0217505,nm0000217
tt0217869,nm0796117
tt0218967,nm0711840
tt0221027,nm0001130
tt0223897,nm0001460
tt0227445,nm0000568
tt0227538,nm0001675
tt0230011,nm0936374
tt0230011,nm0873779
tt0230030,nm0000601
tt0230600,nm0024622
tt0232500,nm0003418
tt0234215,nm0905152
tt0234215,nm0905154
tt0236493,nm0893659
tt0238380,nm0934483
tt0240772,nm0001752
tt0240890,nm0155093
tt0241303,nm0002120
tt0241527,nm0001060
tt0242423,nm0500444
tt0242653,nm0905154
tt0242653,nm0905152
tt0243133,nm0001054
tt0243155,nm0536632
tt0244244,nm0784061
tt0245429,nm0594503
tt0245574,nm0190859
tt0245712,nm0327944
tt0245844,nm0721817
tt0246460,nm0848414
tt0246578,nm0446819
tt0247638,nm0005190
tt0247745,nm0151540
tt0249462,nm0197636
tt0250494,nm0525659
tt0250687,nm0958387
tt0251075,nm0718645
tt0251127,nm0677953
tt0251160,nm0001024
tt0252866,nm0736930
tt0253474,nm0000591
tt0253556,nm0101385
tt0256380,nm0125803
tt0256380,nm0268380
tt0256415,nm0855035
tt0257044,nm0005222
tt0257076,nm0424800
tt0257106,nm0005540
tt0257360,nm0668247
tt0258000,nm0000399
tt0258463,nm0510731
tt0259324,nm0425756
tt0259446,nm0959034
tt0259711,nm0001081
tt0261392,nm0003620
tt0263488,nm0759207
tt0264464,nm0000229
tt0265086,nm0000631
tt0265208,nm0339004
tt0265459,nm0738796
tt0265666,nm0027572
tt0266308,nm0297935
tt0266543,nm0881279
tt0266543,nm0004056
tt0266697,nm0000233
tt0266915,nm0711840
tt0266987,nm0001716
tt0267913,nm0331532
tt0268126,nm0005069
tt0268380,nm0757858
tt0268380,nm0917188
tt0268695,nm0920425
tt0268978,nm0000165
tt0272152,nm0812200
tt0272338,nm0000759
tt0274166,nm0398185
tt0274558,nm0197636
tt0275847,nm0761498
tt0275847,nm0213450
tt0276751,nm0919369
tt0276751,nm0919363
tt0276919,nm0001885
tt0277027,nm0625458
tt0277296,nm0751080
tt0277371,nm0302778
tt0277434,nm0908824
tt0278504,nm0634240
tt0280590,nm0109359
tt0281358,nm0788202
tt0283111,nm0065608
tt0285823,nm0001675
tt0286106,nm0796117
tt0286499,nm0149446
tt0286716,nm0000487
tt0287467,nm0000264
tt0287978,nm0425756
tt0289043,nm0000965
tt0289765,nm0711840
tt0289879,nm0107774
tt0289879,nm0344259
tt0289992,nm0000570
tt0290002,nm0005366
tt0290334,nm0001741
tt0290673,nm0637615
tt0292506,nm0002044
tt0292963,nm0001486
tt0293429,nm2585406
tt0293508,nm0001708
tt0293564,nm0711840
tt0293662,nm0504642
tt0293662,nm0477035
tt0295178,nm0005366
tt0295297,nm0001060
tt0295700,nm0003343
tt0295701,nm0003418
tt0296572,nm0878638
tt0298130,nm0893659
tt0298148,nm0011470
tt0298148,nm0038432
tt0298148,nm0970447
tt0298203,nm0000436
tt0299658,nm0551128
tt0299977,nm0955443
tt0300471,nm0229694
tt0301357,nm0065615
tt0302886,nm0680846
tt0304141,nm0190859
tt0305224,nm0781842
tt0305357,nm0629334
tt0306047,nm0001878
tt0307453,nm0074426
tt0307453,nm0421776
tt0307453,nm1224299
tt0307901,nm0000490
tt0307987,nm0959062
tt0308644,nm0286975
tt0309593,nm0254786
tt0309698,nm0003506
tt0309987,nm0000934
tt0310793,nm0601619
tt0311113,nm0001837
tt0311429,nm0635759
tt0312004,nm0101508
tt0312004,nm0661910
tt0313737,nm0492909
tt0314331,nm0193485
tt0314353,nm0298807
tt0315327,nm0001723
tt0315733,nm0327944
tt0316654,nm0000600
tt0317198,nm0452319
tt0317219,nm0005124
tt0317219,nm0710020
tt0317248,nm0576987
tt0317248,nm0526199
tt0317705,nm0083348
tt0317740,nm0336620
tt0317919,nm0009190
tt0318462,nm0758574
tt0318627,nm0936838
tt0319061,nm0000318
tt0319262,nm0000386
tt0319343,nm0269463
tt0320661,nm0000631
tt0320691,nm0936482
tt0322259,nm0005436
tt0322330,nm0914132
tt0324216,nm1197971
tt0325703,nm0000957
tt0325710,nm0001880
tt0325805,nm0000631
tt0325980,nm0893659
tt0327056,nm0000142
tt0327084,nm0426333
tt0327084,nm0456732
tt0327554,nm0685759
tt0327597,nm0783139
tt0327850,nm0000916
tt0328107,nm0001716
tt0328828,nm0245888
tt0328880,nm1074107
tt0328880,nm0086431
tt0329101,nm0950553
tt0330373,nm0001565
tt0330793,nm0378144
tt0332280,nm0001024
tt0332379,nm0000500
tt0332452,nm0000583
tt0333766,nm0103785
tt0335245,nm0001053
tt0335245,nm0001054
tt0335266,nm0001068
tt0335345,nm0000154
tt0335438,nm0680846
tt0337563,nm0935095
tt0337741,nm0583600
tt0337978,nm0936482
tt0338013,nm0327273
tt0338337,nm0000247
tt0338348,nm0000709
tt0338526,nm0814085
tt0338564,nm0538320
tt0338564,nm0490487
tt0338751,nm0000217
tt0339291,nm0797869
tt0340163,nm0802807
tt0340855,nm0420941
tt0342258,nm0504642
tt0343135,nm0357453
tt0343660,nm0781842
tt0343737,nm0000134
tt0343818,nm0001639
tt0346491,nm0000231
tt0347149,nm0594503
tt0348150,nm0001741
tt0348836,nm0440913
tt0349683,nm0298807
tt0349903,nm0001752
tt0350258,nm0000431
tt0351283,nm0569891
tt0351283,nm0201509
tt0352248,nm0000165
tt0353969,nm0094435
tt0355295,nm0000416
tt0356150,nm0073688
tt0356150,nm0769840
tt0356150,nm0541635
tt0356910,nm0510731
tt0357413,nm0570912
tt0358082,nm0917188
tt0358082,nm0757858
tt0358273,nm0003506
tt0359013,nm0275286
tt0359950,nm0001774
tt0360486,nm1349376
tt0360717,nm0001392
tt0361596,nm0601619
tt0361748,nm0000233
tt0361862,nm0026442
tt0362120,nm0001878
tt0362227,nm0000229
tt0362270,nm0027572
tt0363163,nm0386570
tt0363547,nm0811583
tt0363771,nm0011470
tt0363988,nm0462895
tt0364569,nm0661791
tt0364725,nm1098493
tt0365737,nm0300866
tt0365748,nm0942367
tt0365830,nm0528381
tt0365907,nm0291082
tt0366548,nm0004306
tt0366548,nm0606688
tt0366548,nm0171253
tt0366551,nm0500444
tt0366627,nm0562266
tt0367594,nm0000318
tt0367882,nm0000229
tt0367959,nm0916424
tt0368008,nm0001129
tt0368447,nm0796117
tt0368891,nm0005509
tt0369339,nm0000520
tt0369441,nm0661751
tt0369610,nm1119880
tt0370263,nm0027271
tt0371724,nm1134029
tt0371746,nm0269463
tt0372183,nm0339030
tt0372588,nm0005295
tt0372784,nm0634240
tt0373051,nm0108094
tt0373074,nm0159507
tt0373469,nm0000948
tt0373883,nm0957772
tt0373889,nm0946734
tt0373926,nm0001628
tt0374900,nm0381478
tt0375063,nm0668247
tt0375679,nm0353673
tt0375912,nm0891216
tt0376136,nm0732430
tt0376541,nm0001566
tt0376994,nm0711840
tt0377092,nm0914132
tt0378194,nm0000233
tt0379725,nm0587955
tt0379786,nm0923736
tt0380510,nm0001392
tt0381061,nm0132709
tt0381681,nm0000500
tt0381707,nm0005540
tt0381849,nm0003506
