"('mid',)","('genre',)"
tt0116213,Thriller
tt0116282,Crime
tt0116282,Thriller
tt0116367,Action
tt0116367,Crime
tt0116367,Horror
tt0116483,Comedy
tt0116483,Sport
tt0116583,Animation
tt0116583,Drama
tt0116583,Family
tt0116629,Action
tt0116629,Adventure
tt0116629,Sci-Fi
tt0116695,Comedy
tt0116695,Drama
tt0116695,Romance
tt0116705,Adventure
tt0116705,Comedy
tt0116705,Family
tt0116922,Mystery
tt0116922,Thriller
tt0116996,Comedy
tt0116996,Sci-Fi
tt0117008,Comedy
tt0117008,Family
tt0117008,Fantasy
tt0117060,Action
tt0117060,Adventure
tt0117060,Thriller
tt0117218,Comedy
tt0117218,Romance
tt0117218,Sci-Fi
tt0117381,Crime
tt0117381,Drama
tt0117381,Mystery
tt0117438,Action
tt0117438,Crime
tt0117438,Thriller
tt0117500,Action
tt0117500,Adventure
tt0117500,Thriller
tt0117509,Drama
tt0117509,Romance
tt0117571,Horror
tt0117571,Mystery
tt0117665,Crime
tt0117665,Drama
tt0117665,Thriller
tt0117705,Adventure
tt0117705,Animation
tt0117705,Comedy
tt0117731,Action
tt0117731,Adventure
tt0117731,Drama
tt0117913,Crime
tt0117913,Drama
tt0117913,Thriller
tt0117951,Drama
tt0117998,Action
tt0117998,Adventure
tt0117998,Thriller
tt0118571,Action
tt0118571,Drama
tt0118571,Thriller
tt0118583,Action
tt0118583,Horror
tt0118583,Sci-Fi
tt0118615,Action
tt0118615,Adventure
tt0118615,Horror
tt0118617,Adventure
tt0118617,Animation
tt0118617,Drama
tt0118655,Adventure
tt0118655,Comedy
tt0118688,Action
tt0118688,Sci-Fi
tt0118689,Adventure
tt0118689,Comedy
tt0118689,Family
tt0118694,Drama
tt0118694,Romance
tt0118715,Comedy
tt0118715,Crime
tt0118749,Drama
tt0118799,Comedy
tt0118799,Drama
tt0118799,Romance
tt0118842,Comedy
tt0118842,Drama
tt0118842,Romance
tt0118880,Action
tt0118880,Crime
tt0118880,Thriller
tt0118884,Drama
tt0118884,Mystery
tt0118884,Sci-Fi
tt0118929,Fantasy
tt0118929,Mystery
tt0118929,Sci-Fi
tt0118971,Drama
tt0118971,Mystery
tt0118971,Thriller
tt0119008,Biography
tt0119008,Crime
tt0119008,Drama
tt0119081,Horror
tt0119081,Sci-Fi
tt0119081,Thriller
tt0119094,Action
tt0119094,Crime
tt0119094,Sci-Fi
tt0119116,Action
tt0119116,Adventure
tt0119116,Sci-Fi
tt0119164,Comedy
tt0119164,Drama
tt0119174,Drama
tt0119174,Mystery
tt0119174,Thriller
tt0119177,Drama
tt0119177,Sci-Fi
tt0119177,Thriller
tt0119217,Drama
tt0119217,Romance
tt0119282,Adventure
tt0119282,Animation
tt0119282,Comedy
tt0119303,Action
tt0119303,Comedy
tt0119303,Crime
tt0119345,Horror
tt0119345,Mystery
tt0119395,Action
tt0119395,Crime
tt0119395,Drama
tt0119396,Crime
tt0119396,Drama
tt0119396,Thriller
tt0119488,Crime
tt0119488,Drama
tt0119488,Mystery
tt0119528,Comedy
tt0119528,Fantasy
tt0119567,Action
tt0119567,Adventure
tt0119567,Sci-Fi
tt0119643,Drama
tt0119643,Fantasy
tt0119643,Romance
tt0119654,Action
tt0119654,Adventure
tt0119654,Comedy
tt0119698,Action
tt0119698,Adventure
tt0119698,Animation
tt0119738,Comedy
tt0119738,Drama
tt0119738,Romance
tt0119822,Comedy
tt0119822,Drama
tt0119822,Romance
tt0120082,Horror
tt0120082,Mystery
tt0120102,Adventure
tt0120102,Biography
tt0120102,Drama
tt0120184,Action
tt0120184,Mystery
tt0120184,Sci-Fi
tt0120188,Action
tt0120188,Adventure
tt0120188,Comedy
tt0120201,Action
tt0120201,Adventure
tt0120201,Sci-Fi
tt0120338,Drama
tt0120338,Romance
tt0120347,Action
tt0120347,Adventure
tt0120347,Thriller
tt0120363,Adventure
tt0120363,Animation
tt0120363,Comedy
tt0120382,Comedy
tt0120382,Drama
tt0120484,Comedy
tt0120484,Sport
tt0120586,Drama
tt0120587,Adventure
tt0120587,Animation
tt0120587,Comedy
tt0120591,Action
tt0120591,Adventure
tt0120591,Sci-Fi
tt0120601,Comedy
tt0120601,Drama
tt0120601,Fantasy
tt0120611,Action
tt0120611,Horror
tt0120611,Sci-Fi
tt0120616,Action
tt0120616,Adventure
tt0120616,Fantasy
tt0120623,Adventure
tt0120623,Animation
tt0120623,Comedy
tt0120630,Adventure
tt0120630,Animation
tt0120630,Comedy
tt0120632,Drama
tt0120632,Fantasy
tt0120632,Romance
tt0120647,Action
tt0120647,Drama
tt0120647,Sci-Fi
tt0120655,Adventure
tt0120655,Comedy
tt0120655,Drama
tt0120657,Action
tt0120657,Adventure
tt0120657,History
tt0120660,Action
tt0120660,Thriller
tt0120663,Drama
tt0120663,Mystery
tt0120663,Thriller
tt0120667,Action
tt0120667,Adventure
tt0120667,Fantasy
tt0120669,Adventure
tt0120669,Comedy
tt0120669,Drama
tt0120681,Horror
tt0120681,Mystery
tt0120681,Thriller
tt0120685,Action
tt0120685,Sci-Fi
tt0120685,Thriller
tt0120689,Crime
tt0120689,Drama
tt0120689,Fantasy
tt0120735,Action
tt0120735,Comedy
tt0120735,Crime
tt0120737,Action
tt0120737,Adventure
tt0120737,Drama
tt0120744,Action
tt0120744,Adventure
tt0120744,Drama
tt0120746,Action
tt0120746,Adventure
tt0120746,Comedy
tt0120755,Action
tt0120755,Adventure
tt0120755,Thriller
tt0120762,Adventure
tt0120762,Animation
tt0120762,Comedy
tt0120768,Action
tt0120768,Crime
tt0120768,Drama
tt0120783,Adventure
tt0120783,Comedy
tt0120783,Drama
tt0120784,Action
tt0120784,Crime
tt0120784,Drama
tt0120789,Comedy
tt0120789,Drama
tt0120789,Fantasy
tt0120794,Adventure
tt0120794,Animation
tt0120794,Drama
tt0120804,Action
tt0120804,Horror
tt0120804,Sci-Fi
tt0120812,Action
tt0120812,Comedy
tt0120812,Crime
tt0120815,Drama
tt0120815,War
tt0120855,Adventure
