"('mid',)","('pid',)"
tt0088247,nm0005036
tt0088247,nm0936537
tt0088258,nm0001302
tt0088258,nm0571106
tt0088258,nm0733427
tt0088258,nm0001661
tt0088323,nm0000583
tt0088323,nm0917833
tt0088323,nm0256779
tt0088323,nm0247691
tt0088763,nm0000709
tt0088763,nm0301826
tt0088846,nm0000416
tt0088846,nm0001779
tt0088846,nm0571650
tt0088846,nm0023395
tt0088847,nm0000455
tt0088944,nm0517188
tt0088944,nm0918861
tt0088944,nm0211823
tt0089218,nm0001060
tt0089218,nm0000229
tt0089530,nm0371249
tt0089530,nm0004306
tt0089530,nm0447945
tt0089880,nm0606251
tt0089880,nm0418883
tt0089880,nm0000230
tt0089880,nm0000116
tt0089881,nm0000041
tt0089881,nm0644823
tt0089881,nm0406836
tt0089881,nm0000636
tt0089927,nm0000230
tt0090555,nm0001357
tt0090555,nm0787185
tt0090555,nm0180257
tt0090605,nm0000116
tt0090605,nm0318429
tt0090605,nm0001353
tt0090605,nm0639321
tt0090605,nm0795953
tt0090728,nm0325778
tt0090728,nm0918434
tt0090728,nm0725379
tt0090756,nm0000186
tt0091042,nm0000455
tt0091064,nm0486228
tt0091064,nm0688279
tt0091064,nm0000343
tt0091203,nm0927074
tt0091203,nm0069282
tt0091203,nm0272511
tt0091369,nm0497140
tt0091369,nm0001345
tt0091369,nm0001402
tt0091605,nm0248767
tt0091605,nm0001949
tt0091605,nm0102722
tt0091605,nm0291442
tt0091605,nm0323708
tt0091763,nm0000231
tt0092005,nm0000175
tt0092005,nm0317279
tt0092005,nm0262595
tt0092067,nm0594503
tt0092067,nm0842605
tt0092099,nm0143596
tt0092099,nm0258390
tt0092099,nm1274594
tt0092099,nm0803730
tt0092644,nm0045301
tt0092644,nm0677943
tt0092644,nm0000552
tt0092644,nm0905160
tt0092644,nm0272511
tt0092644,nm0803730
tt0092644,nm0318429
tt0092644,nm0458711
tt0092890,nm0075044
tt0092965,nm0001779
tt0092965,nm0050618
tt0092965,nm0583675
tt0092991,nm0000600
tt0092991,nm0818547
tt0093058,nm0000040
tt0093058,nm0380282
tt0093058,nm0368007
tt0093105,nm0548732
tt0093177,nm0000850
tt0093389,nm0881100
tt0093389,nm0672546
tt0093389,nm0000934
tt0093389,nm0699701
tt0093409,nm0000948
tt0093409,nm0090151
tt0093437,nm0278969
tt0093437,nm0421894
tt0093437,nm0090151
tt0093748,nm0000455
tt0093773,nm0859029
tt0093773,nm0859049
tt0093779,nm0001279
tt0093822,nm0001053
tt0093822,nm0001054
tt0093870,nm0627159
tt0093870,nm0591160
tt0093894,nm0000175
tt0093894,nm0211823
tt0094012,nm0000316
tt0094012,nm0576070
tt0094012,nm0334283
tt0094226,nm0000519
tt0094226,nm0289708
tt0094226,nm0626479
tt0094226,nm0588079
tt0094291,nm0007140
tt0094291,nm0000231
tt0094625,nm0960028
tt0094625,nm0368051
tt0094721,nm0568313
tt0094721,nm0933733
tt0094721,nm0803730
tt0094737,nm0002657
tt0094737,nm0818576
tt0094898,nm0000552
tt0094898,nm0790775
tt0094898,nm0087904
tt0095016,nm0861636
tt0095016,nm0835732
tt0095016,nm0211823
tt0095159,nm0000092
tt0095159,nm0187769
tt0095327,nm0636435
tt0095327,nm0847223
tt0095705,nm0958387
tt0095705,nm0000720
tt0095705,nm0001878
tt0095705,nm0698493
tt0095765,nm0868153
tt0095765,nm0660031
tt0095953,nm0607454
tt0095953,nm0060103
tt0095956,nm0606251
tt0095956,nm0000230
tt0095956,nm0504802
tt0096256,nm0625688
tt0096256,nm0000118
tt0096283,nm0594503
tt0096320,nm0204030
tt0096320,nm0651758
tt0096320,nm0365390
tt0096320,nm0918339
tt0096438,nm0937757
tt0096438,nm0696949
tt0096438,nm0780620
tt0096438,nm5927607
tt0096438,nm5927608
tt0096446,nm0000184
tt0096446,nm0231190
tt0096754,nm0000116
tt0096874,nm0000709
tt0096874,nm0301826
tt0096895,nm0004170
tt0096895,nm0358334
tt0096895,nm0803730
tt0096928,nm0558533
tt0096928,nm0004412
tt0096969,nm0468407
tt0096969,nm0000231
tt0097165,nm0776114
tt0097239,nm0880261
tt0097351,nm0455875
tt0097351,nm0004675
tt0097428,nm0000101
tt0097428,nm0000601
tt0097441,nm0418883
tt0097441,nm0457016
tt0097441,nm0120837
tt0097441,nm0789946
tt0097523,nm0002340
tt0097523,nm0951206
tt0097523,nm0619547
tt0097523,nm0776114
tt0097576,nm0090151
tt0097576,nm0000184
tt0097576,nm0583675
tt0097576,nm0442241
tt0097733,nm0090151
tt0097733,nm0000948
tt0097733,nm0614775
tt0097742,nm0933865
tt0097742,nm0537363
tt0097742,nm0001220
tt0097757,nm0615780
tt0097757,nm0166256
tt0097757,nm0026153
tt0097757,nm0039141
tt0097757,nm0334057
tt0097757,nm3071117
tt0097757,nm0399252
tt0097814,nm0434395
tt0097814,nm0594503
tt0097958,nm0000455
tt0098084,nm0000175
tt0098439,nm0271098
tt0098635,nm0001188
tt0099077,nm0755312
tt0099077,nm0001873
tt0099088,nm0000709
tt0099088,nm0301826
tt0099348,nm0086658
tt0099423,nm0211823
tt0099423,nm0724514
tt0099423,nm0905709
tt0099423,nm0861636
tt0099487,nm0000318
tt0099487,nm0003031
tt0099653,nm0748022
tt0099674,nm0701374
tt0099674,nm0000338
tt0099685,nm0683380
tt0099685,nm0000217
tt0099700,nm0351919
tt0099700,nm0001060
tt0099785,nm0000455
tt0099810,nm0002007
tt0099810,nm0272511
tt0099810,nm0829329
tt0099810,nm0787072
tt0099871,nm0748022
tt0099938,nm0758010
tt0099938,nm0918339
tt0099938,nm0365390
tt0100150,nm0001054
tt0100150,nm0001053
tt0100150,nm0358591
tt0100157,nm0000175
tt0100157,nm0001279
tt0100403,nm0859029
tt0100403,nm0859049
tt0100405,nm0493369
tt0100507,nm0000230
tt0100802,nm0001140
tt0100802,nm0795953
tt0100802,nm0639321
tt0100802,nm0693956
tt0100802,nm0325778
tt0100814,nm0934093
tt0100814,nm0534681
tt0100814,nm0881038
tt0101272,nm0011623
tt0101272,nm0003031
tt0101272,nm0933733
tt0101410,nm0001054
tt0101410,nm0001053
tt0101414,nm0941314
tt0101414,nm0152312
tt0101414,nm0761498
tt0101414,nm0560329
tt0101414,nm0363125
tt0101414,nm0683724
tt0101414,nm0940849
tt0101414,nm0710020
tt0101414,nm0254085
tt0101414,nm0038432
tt0101414,nm0501729
tt0101414,nm0207305
tt0101414,nm3343855
tt0101507,nm0005436
tt0101540,nm0531792
tt0101540,nm0916139
tt0101540,nm0834338
tt0102057,nm0057381
tt0102057,nm0366337
tt0102057,nm0145309
tt0102057,nm0549369
tt0102059,nm0000720
tt0102059,nm0698493
tt0102138,nm0308426
tt0102138,nm0550285
tt0102138,nm0000231
tt0102138,nm0804466
tt0102266,nm0000948
tt0102266,nm0382855
tt0102510,nm0000720
tt0102510,nm0001878
tt0102510,nm0958387
tt0102510,nm0698493
tt0102685,nm0004488
tt0102685,nm0407717
tt0102798,nm0219720
tt0102798,nm0914709
tt0102926,nm0365383
tt0102926,nm0848217
tt0103064,nm0000116
tt0103064,nm0936537
tt0103074,nm0451884
tt0103639,nm0166256
tt0103639,nm0615780
tt0103639,nm0254645
tt0103639,nm0744429
tt0103639,nm0560329
tt0103639,nm0021249
tt0103639,nm0423161
tt0103639,nm0363125
tt0103639,nm0629734
tt0103639,nm0322368
tt0103639,nm0740311
tt0103639,nm0500858
tt0103639,nm0969162
tt0103639,nm0361315
tt0103639,nm0510674
tt0103639,nm0715949
tt0103639,nm1061362
tt0103639,nm0761498
tt0103639,nm0683724
tt0103639,nm0893358
tt0103644,nm0639321
tt0103644,nm0795953
tt0103644,nm0911910
tt0103644,nm0318429
tt0103644,nm0001353
tt0103644,nm0272511
tt0103772,nm0000390
tt0103776,nm0004170
tt0103776,nm0914058
tt0103776,nm0358334
tt0103855,nm0001410
tt0103874,nm0831290
tt0103874,nm0366337
tt0104070,nm0233026
tt0104070,nm0462895
tt0104257,nm0815070
tt0104348,nm0000519
tt0104431,nm0000455
tt0104691,nm0178126
tt0104691,nm0049721
tt0104691,nm0673585
tt0104691,nm0601086
tt0104691,nm0242897
tt0104691,nm0000520
tt0104691,nm0189610
tt0104694,nm0933718
tt0104694,nm0133676
tt0104694,nm0304665
tt0104694,nm0541632
tt0104714,nm0090151
tt0104714,nm0436543
tt0104714,nm0000948
tt0104952,nm0490958
tt0105112,nm0002007
tt0105112,nm0407717
tt0105112,nm0829329
tt0105236,nm0000233
tt0105236,nm0000812
tt0105323,nm0037097
tt0105323,nm0325743
tt0105323,nm0531431
tt0105323,nm0728271
tt0105695,nm0672459
tt0105793,nm0000196
tt0105793,nm0877425
tt0105793,nm0877901
tt0106308,nm0000600
tt0106308,nm0706898
tt0106489,nm0001590
tt0106519,nm0868620
tt0106519,nm0462895
tt0106582,nm0519026
tt0106582,nm0289833
tt0106582,nm0000230
tt0106611,nm0796848
tt0106611,nm0006916
tt0106611,nm0842476
tt0106611,nm0325271
tt0106677,nm0000500
tt0106697,nm0006997
tt0106697,nm0719427
tt0106697,nm0914058
tt0106856,nm0808076
tt0106918,nm0001300
tt0106918,nm0704792
tt0106918,nm0001801
tt0106918,nm0713128
tt0106977,nm0835732
tt0106977,nm0878638
tt0106977,nm0400403
tt0107048,nm0748035
tt0107048,nm0000601
tt0107120,nm0456946
tt0107120,nm0308376
tt0107120,nm0193854
tt0107206,nm0536587
tt0107207,nm0174840
tt0107207,nm0313623
tt0107207,nm0006487
tt0107290,nm0000341
tt0107290,nm0462895
tt0107362,nm0672015
tt0107362,nm0498963
tt0107362,nm0000948
tt0107362,nm0036714
tt0107614,nm0277590
tt0107614,nm0802020
tt0107614,nm0228908
tt0107688,nm0000318
tt0107688,nm0568313
tt0107688,nm0003031
tt0107818,nm0638913
tt0107977,nm0788526
tt0107977,nm0151362
tt0107977,nm0000316
tt0108052,nm0447745
tt0108052,nm0001873
tt0108160,nm0033578
tt0108160,nm0001188
tt0108160,nm0911486
tt0108358,nm0418883
tt0108399,nm0000233
tt0108399,nm0000812
tt0108550,nm0373282
tt0109040,nm0077062
tt0109040,nm0001723
tt0109040,nm0000120
tt0109445,nm0003620
tt0109506,nm0639335
tt0109506,nm0775017
tt0109506,nm0794326
tt0109686,nm0268380
tt0109686,nm0947395
tt0109686,nm0125803
tt0109707,nm0340674
tt0109707,nm0018735
tt0109707,nm0438989
tt0109830,nm0343165
tt0109830,nm0744839
tt0109831,nm0193485
tt0110148,nm0723351
tt0110322,nm0793463
tt0110322,nm0937074
tt0110322,nm0365659
tt0110357,nm0575293
tt0110357,nm0731271
tt0110357,nm0941314
tt0110357,nm0560329
tt0110357,nm0424556
tt0110357,nm0177170
tt0110357,nm0258059
tt0110357,nm0309128
tt0110357,nm0873779
tt0110357,nm0135296
tt0110357,nm0363125
tt0110357,nm0460146
tt0110357,nm0761498
tt0110357,nm0004552
tt0110357,nm0500858
tt0110357,nm0710020
tt0110357,nm0538588
tt0110357,nm0326814
tt0110357,nm0322368
tt0110357,nm0442483
tt0110357,nm0020599
tt0110357,nm0780117
tt0110357,nm0854185
tt0110357,nm0873092
tt0110357,nm0879318
tt0110357,nm0901038
tt0110357,nm0936374
tt0110357,nm0925276
tt0110357,nm0152312
tt0110413,nm0000108
tt0110475,nm0266430
tt0110475,nm0894156
tt0110475,nm0108273
tt0110478,nm0400403
tt0110478,nm0001279
tt0110622,nm0698493
tt0110622,nm0001878
tt0110622,nm0516598
tt0110622,nm0000720
tt0110622,nm0958387
tt0110632,nm0000233
tt0110632,nm0892705
